ID студента,Вопрос №,Вопрос,Эталонный ответ,Ответ студента,Балл
202323519,3,"В первой урне 3 белых шара и 2 черных шара, во второй – 2 белых и 4 черных шара. Из первой урны во вторую переложено два шара, а затем из второй урны извлечен один шар. Определить вероятность того, что этот шар белый.",0.4,,0
202323519,5,"В первой урне 4 белых шара и 3 черных шара, во второй – 5 белых и 2 черных шара. Из первой урны во вторую переложено два шара, а затем из второй урны извлечен один шар. Определить вероятность того, что этот шар черный.",0.3175,,0
202323519,4,"Маленькая Сонечка помогает маме и моет посуду – всего 10 тарелок, 5 блюдец и 5 чашек. Вероятность того, что она разобьет тарелку – 8%, блюдце – 5% и чашку – 3%. Определить вероятность того, что наудачу выбранный предмет, который она сейчас моет, не пострадает.",0.94,,0
202323519,7,"В группе спортсменов 20 лыжников, 6 велосипедистов, 4 бегуна. Вероятность выполнить квалификационную норму для лыжника – 0,9; для велосипедиста – 0,8 и для бегуна – 0,75. Найти вероятность того, что взятый наудачу спортсмен выполнит норму.",0.86,,0
202323519,2,"Вирус подвергается действию раствора антибиотиков А, В, С, концентрация которых соответственно 52%, 38% и 10%, а эффективность уничтожения ими вируса – соответственно 30%, 40% и 70%. Определить вероятность гибели вируса.",0.378,,0
202323519,8,"В отделении Сбербанка имеются четыре автомата для пересчета купюр. Вероятности того, что автомат выдержит гарантийный срок службы, соответственно равны: 0,8, 0,85, 0,9 и 0,95. Найти вероятность того, что взятый наудачу автомат выдержит гарантийный срок.",0.875,0，875,2
202323519,6,"Литье в болванках поступает из двух цехов: 70% из первого и 30% из второго. При этом материал из первого цеха имеет 5% брака, а из второго – 10%. Найти вероятность того, что взятая наугад болванка без дефекта.",0.935,0.935,2
202323519,9,"Известно, что 5% всех мужчин и 0,25% всех женщин – дальтоники. Наугад выбранное лицо страдает дальтонизмом. Какова вероятность того, что это мужчина.",0.66,0.9524,1
202323519,1,"Имеется три одинаковые урны с шарами. В первой урне 4 белых и 3 черных, во второй – 5 белых и 2 черных, в третьей – 2 белых и 5 черных шаров. Некто выбирает наугад одну из урн и вынимает из нее шар. Найти вероятность того, что это белый шар.",0.52,11/21,1
202323519,10,"Известно, что 5% всех мужчин и 0,25% всех женщин – дальтоники. Наугад выбранное лицо страдает дальтонизмом. Какова вероятность того, что это женщина.",0.33,1/21,1
202323401,9,"Известно, что 5% всех мужчин и 0,25% всех женщин – дальтоники. Наугад выбранное лицо страдает дальтонизмом. Какова вероятность того, что это мужчина.",0.66,,0
202323401,5,"В первой урне 4 белых шара и 3 черных шара, во второй – 5 белых и 2 черных шара. Из первой урны во вторую переложено два шара, а затем из второй урны извлечен один шар. Определить вероятность того, что этот шар черный.",0.3175,,0
202323401,2,"Вирус подвергается действию раствора антибиотиков А, В, С, концентрация которых соответственно 52%, 38% и 10%, а эффективность уничтожения ими вируса – соответственно 30%, 40% и 70%. Определить вероятность гибели вируса.",0.378,,0
202323401,7,"В группе спортсменов 20 лыжников, 6 велосипедистов, 4 бегуна. Вероятность выполнить квалификационную норму для лыжника – 0,9; для велосипедиста – 0,8 и для бегуна – 0,75. Найти вероятность того, что взятый наудачу спортсмен выполнит норму.",0.86,,0
202323401,8,"В отделении Сбербанка имеются четыре автомата для пересчета купюр. Вероятности того, что автомат выдержит гарантийный срок службы, соответственно равны: 0,8, 0,85, 0,9 и 0,95. Найти вероятность того, что взятый наудачу автомат выдержит гарантийный срок.",0.875,,0
202323401,4,"Маленькая Сонечка помогает маме и моет посуду – всего 10 тарелок, 5 блюдец и 5 чашек. Вероятность того, что она разобьет тарелку – 8%, блюдце – 5% и чашку – 3%. Определить вероятность того, что наудачу выбранный предмет, который она сейчас моет, не пострадает.",0.94,94%,1
202323401,1,"Имеется три одинаковые урны с шарами. В первой урне 4 белых и 3 черных, во второй – 5 белых и 2 черных, в третьей – 2 белых и 5 черных шаров. Некто выбирает наугад одну из урн и вынимает из нее шар. Найти вероятность того, что это белый шар.",0.52,11/12,2
202323401,6,"Литье в болванках поступает из двух цехов: 70% из первого и 30% из второго. При этом материал из первого цеха имеет 5% брака, а из второго – 10%. Найти вероятность того, что взятая наугад болванка без дефекта.",0.935,93.5%,1
202323401,3,"В первой урне 3 белых шара и 2 черных шара, во второй – 2 белых и 4 черных шара. Из первой урны во вторую переложено два шара, а затем из второй урны извлечен один шар. Определить вероятность того, что этот шар белый.",0.4,2/5,1
202323401,10,"Известно, что 5% всех мужчин и 0,25% всех женщин – дальтоники. Наугад выбранное лицо страдает дальтонизмом. Какова вероятность того, что это женщина.",0.33,4.76%,1
202323415,5,"В первой урне 4 белых шара и 3 черных шара, во второй – 5 белых и 2 черных шара. Из первой урны во вторую переложено два шара, а затем из второй урны извлечен один шар. Определить вероятность того, что этот шар черный.",0.3175,,0
202323415,3,"В первой урне 3 белых шара и 2 черных шара, во второй – 2 белых и 4 черных шара. Из первой урны во вторую переложено два шара, а затем из второй урны извлечен один шар. Определить вероятность того, что этот шар белый.",0.4,,0
202323415,4,"Маленькая Сонечка помогает маме и моет посуду – всего 10 тарелок, 5 блюдец и 5 чашек. Вероятность того, что она разобьет тарелку – 8%, блюдце – 5% и чашку – 3%. Определить вероятность того, что наудачу выбранный предмет, который она сейчас моет, не пострадает.",0.94,,0
202323415,7,"В группе спортсменов 20 лыжников, 6 велосипедистов, 4 бегуна. Вероятность выполнить квалификационную норму для лыжника – 0,9; для велосипедиста – 0,8 и для бегуна – 0,75. Найти вероятность того, что взятый наудачу спортсмен выполнит норму.",0.86,,0
202323415,6,"Литье в болванках поступает из двух цехов: 70% из первого и 30% из второго. При этом материал из первого цеха имеет 5% брака, а из второго – 10%. Найти вероятность того, что взятая наугад болванка без дефекта.",0.935,,0
202323415,2,"Вирус подвергается действию раствора антибиотиков А, В, С, концентрация которых соответственно 52%, 38% и 10%, а эффективность уничтожения ими вируса – соответственно 30%, 40% и 70%. Определить вероятность гибели вируса.",0.378,0.39,1
202323415,1,"Имеется три одинаковые урны с шарами. В первой урне 4 белых и 3 черных, во второй – 5 белых и 2 черных, в третьей – 2 белых и 5 черных шаров. Некто выбирает наугад одну из урн и вынимает из нее шар. Найти вероятность того, что это белый шар.",0.52,179/315,1
202323415,9,"Известно, что 5% всех мужчин и 0,25% всех женщин – дальтоники. Наугад выбранное лицо страдает дальтонизмом. Какова вероятность того, что это мужчина.",0.66,20/21,1
202323415,8,"В отделении Сбербанка имеются четыре автомата для пересчета купюр. Вероятности того, что автомат выдержит гарантийный срок службы, соответственно равны: 0,8, 0,85, 0,9 и 0,95. Найти вероятность того, что взятый наудачу автомат выдержит гарантийный срок.",0.875,0.875,2
202323415,10,"Известно, что 5% всех мужчин и 0,25% всех женщин – дальтоники. Наугад выбранное лицо страдает дальтонизмом. Какова вероятность того, что это женщина.",0.33,1/21,1
202323413,6,"Литье в болванках поступает из двух цехов: 70% из первого и 30% из второго. При этом материал из первого цеха имеет 5% брака, а из второго – 10%. Найти вероятность того, что взятая наугад болванка без дефекта.",0.935,,0
202323413,4,"Маленькая Сонечка помогает маме и моет посуду – всего 10 тарелок, 5 блюдец и 5 чашек. Вероятность того, что она разобьет тарелку – 8%, блюдце – 5% и чашку – 3%. Определить вероятность того, что наудачу выбранный предмет, который она сейчас моет, не пострадает.",0.94,,0
