ID студента,Оценка (из 10)
202225017,6
202225105,8
202123925,10
202225018,9
202225009,8
202225104,6
202225124,7
202225119,5
202225121,9
202225015,9
202225013,9
202225011,6
202225022,6
202225008,8
202225116,8
202225001,9
202225107,9
202225115,9
202225007,8
202225003,9
202225020,5
202225012,8
202225019,10
202225021,9
202225117,10
202225102,6
202225014,8
202225108,8
20225010,10
202225005,9
22225023,8
202225025,8
202225122,7
202225109,6
202225103,9
202225024,7
202225111,10
202225002,8
202225113,7
202225004,6
202225114,9
202225118,7
202225106,7
202225123,10
202123817,8
202123816,8
202123818,9
202123919,8
202123906,5
202123825,6
202123804,8
202024025,6
202123821,8
202123827,6
202123820,7
202123920,6
202123822,5
202123805,7
202123911,9
202123907,5
202123914,8
202123111,8
202123912,7
202123902,9
202123828,6
202123815,5
202123813,6
202123802,6
202123811,6
202123915,8
202024014,8
202123909,7
202123807,9
202123803,7
202123904,7
202123913,9
202123924,6
202123830,7
202123801,8
202123910,8
202123929,5
202123908,7
202123819,9
202123926,5
202123921,5
202123810,8
202123809,10
202123916,6
202123905,7
202123917,5
202123806,7
202123808,9
202123812,8
202123930,8
